Experiment name, Number of hosts, Number of VMs, Total simulation time, Energy consumption, Number of VM migrations, SLA, SLA perf degradation due to migration, SLA time per active host, Overall SLA violation, Average SLA violation, Number of host shutdowns, Mean time before a host shutdown, StDev time before a host shutdown, Mean time before a VM migration, StDev time before a VM migration, VM selection mean, VM selection stDev, host selection mean, host selection stDev, VM reallocation mean, VM reallocation stDev, total mean, total stDev
20110303_iqr_rs_1.5_it2fuzzy_intersection_maxmin_and_union_minmax_reduction_centroid,800,1052,86400.0,109.26313216040003,22457,0.006532458810289104,0.0924315096302006,7.067350556562502,0.11840073483552717,9.207016847151465,3397,940.5026081836859,2374.524339495165,19.809682059048658,8.186257620682376,8.222996515679449E-4,6.028408336651923E-4,0.11158188153310113,0.005498196075424981,0.03074564459930311,0.014547538668579236,0.6283937282229959,5.78374963686349
20110303_lrr_rs_1.2_it2fuzzy_intersection_maxmin_and_union_minmax_reduction_centroid,800,1052,86400.0,93.68404461772438,7459,0.0013426556809831938,0.02889182430363519,4.647182077783368,0.05088222322925866,8.463405982512228,1180,1831.569664406755,6856.16584700808,19.883027470271802,8.222689680125443,3.7630662020905954E-4,4.853046228751501E-4,0.1071533101045294,0.0075976750113652585,0.011602787456445962,0.006248557251669743,0.5742264808362363,5.743526318161014
20110303_mad_rs_2.5_it2fuzzy_intersection_maxmin_and_union_minmax_reduction_centroid,800,1052,86400.0,107.7647337374419,22502,0.006879878530535281,0.09569895774181532,7.189084074558466,0.13198672298847608,9.053905157046342,3313,954.8089972834251,2408.5721676044427,19.73900340522386,8.191461805506044,8.815331010452968E-4,5.912299773677345E-4,0.11141463414634153,0.00484430981054147,0.0332404181184669,0.014971582773162514,0.64934843205575,5.986570608236521
20110303_thr_rs_0.8_it2fuzzy_intersection_maxmin_and_union_minmax_reduction_centroid,800,1052,86400.0,74.32595064010819,2209,0.0031509670555020593,0.004849495119808998,64.97515674634111,10.710751108039148,14.0766829640469,786,819.8024122137311,3867.3047037389256,19.431887732004462,8.348927291270765,0.0,0.0,0.11032752613240399,0.005443676174438274,3.4843205574912894E-6,5.902813361009552E-5,0.5672822299651603,5.73218518668695
20110306_iqr_rs_1.5_it2fuzzy_intersection_maxmin_and_union_minmax_reduction_centroid,800,898,86400.0,85.76574756820679,18723,0.007130104267561612,0.10032241595155914,7.107189554729619,0.12597702336838396,9.320194760242298,2965,883.1536620573287,2052.342895617833,19.614848240180358,8.167667256250805,6.306620209059238E-4,5.382247893141538E-4,0.1107212543554008,0.0042044350328631136,0.020073170731707293,0.008868397458263913,0.5454111498257826,5.170726041418142
20110306_lrr_rs_1.2_it2fuzzy_intersection_maxmin_and_union_minmax_reduction_centroid,800,898,86400.0,72.19546230261574,5523,0.0011703897312423692,0.027090093347602578,4.320360643371302,0.046181806539729045,8.858192234238341,1048,1344.8957213740266,5022.554193835218,19.729548576674585,8.181092699644058,2.7874564459930335E-4,4.568834392218216E-4,0.10686759581881529,0.004061144832009304,0.007184668989547013,0.00440962573279589,0.4919756097560984,4.8769150173870806
20110306_mad_rs_2.5_it2fuzzy_intersection_maxmin_and_union_minmax_reduction_centroid,800,898,86400.0,84.11826754466547,17849,0.007244232672275778,0.10082051241410944,7.185276585900367,0.14021336418455027,9.473024418550102,2877,901.5716148766006,2144.7501206327556,19.781550264238753,8.168584378869953,6.585365853658541E-4,5.436749638471258E-4,0.11165853658536605,0.007270626935330114,0.020362369337979063,0.009825454595232357,0.5487491289198598,5.165593070404547
20110306_thr_rs_0.8_it2fuzzy_intersection_maxmin_and_union_minmax_reduction_centroid,800,898,86400.0,56.35498149986529,1938,0.0029423402420184906,0.004896846937858586,60.08642457804062,12.525943352389534,16.89441191903869,789,683.5214651457543,2848.2446808769614,19.1208090815269,8.326661239084967,0.0,0.0,0.10858188153310097,0.0030564764346722438,0.0,0.0,0.4955783972125448,4.9568231409140395
20110309_iqr_rs_1.5_it2fuzzy_intersection_maxmin_and_union_minmax_reduction_centroid,800,1061,86400.0,92.5135174233483,20956,0.007565027601758014,0.10564958796127984,7.160489451724665,0.1321681146118777,9.742909075277383,3185,903.1676935635763,2052.275664335732,19.661799057610764,8.160508399977958,6.898954703832758E-4,6.35215664230902E-4,0.11223344947735199,0.018765516552604534,0.02404878048780485,0.013992170272233335,0.6165993031358871,5.665568074307719
20110309_lrr_rs_1.2_it2fuzzy_intersection_maxmin_and_union_minmax_reduction_centroid,800,1061,86400.0,76.86251593138591,7588,0.0018897935441658598,0.03557748487004421,5.311768246318733,0.07966798078077532,8.822350885207598,1264,1514.404936708838,5194.7097541591775,19.82437049003429,8.190300125777402,3.1358885017421624E-4,4.7222506888076437E-4,0.10851567944250906,0.005536174565524518,0.009181184668989525,0.0058407114703402496,0.5564912891986064,5.413836960549641
20110309_mad_rs_2.5_it2fuzzy_intersection_maxmin_and_union_minmax_reduction_centroid,800,1061,86400.0,91.59452058070231,20544,0.00752401311385137,0.10401071319237089,7.233882821220046,0.14173042658789178,9.796712557419907,3271,884.1351366554561,2152.599611187479,19.673949261568353,8.174343623135034,7.177700348432061E-4,5.976041116021921E-4,0.10947038327526153,0.0036371712755315067,0.02508013937282229,0.015429872579275403,0.6128745644599314,5.591401333505119
20110309_thr_rs_0.8_it2fuzzy_intersection_maxmin_and_union_minmax_reduction_centroid,800,1061,86400.0,62.754276985825065,2493,0.0048670392478282,0.008229472287141978,59.14157163433962,10.942188048921516,15.062072067021607,792,1123.5085252525041,5841.838469160676,19.503217007620197,8.290456015616146,0.0,0.0,0.10860975609756125,0.004522010151960016,0.0,0.0,0.5561289198606331,5.45788232781732
20110322_iqr_rs_1.5_it2fuzzy_intersection_maxmin_and_union_minmax_reduction_centroid,800,1516,86400.0,114.88894014695084,28479,0.007243480883447561,0.09681185453070516,7.482018517835742,0.12529950224369224,9.61714609916179,3608,968.5950199556512,2256.214460671418,19.381661473623236,8.186051080013161,0.0010522648083623701,6.37455683018955E-4,0.1103205574912893,0.005810681239866254,0.044463414634146305,0.019358177637534956,0.8381707317073164,7.070513807759222
