Experiment name, Number of hosts, Number of VMs, Total simulation time, Energy consumption, Number of VM migrations, SLA, SLA perf degradation due to migration, SLA time per active host, Overall SLA violation, Average SLA violation, Number of host shutdowns, Mean time before a host shutdown, StDev time before a host shutdown, Mean time before a VM migration, StDev time before a VM migration, VM selection mean, VM selection stDev, host selection mean, host selection stDev, VM reallocation mean, VM reallocation stDev, total mean, total stDev
20110403_iqr_rs_1.5_it2fuzzy_implication_tlk_intersection_tl_and_union_tln_reduction_centroid,800,1463,86400.0,154.08227593923672,33088,0.0070895655005938155,0.09814209860568449,7.22377613818743,0.12666633077354103,9.338229594039973,4343,1011.3995155422551,2469.1715506612604,19.552873310469653,8.171549489770786,0.001219512195121952,7.025695389202348E-4,0.1055156794425089,0.005085863942020448,0.059174216027874545,0.023542202040552695,0.828167247386759,6.633769676344189
20110403_lrr_rs_1.2_it2fuzzy_implication_tlk_intersection_tl_and_union_tln_reduction_centroid,800,1463,86400.0,132.44832464307785,10158,0.00133552125399014,0.027988126086135705,4.771742309149123,0.042336415124365354,8.195600146846562,1264,1955.9639715189655,6631.648827234667,19.743225961534666,8.153078928566817,5.888501742160284E-4,5.271785321373331E-4,0.10297560975609768,0.005863490591542486,0.022651567944250838,0.009508030612821643,0.7097386759581863,6.455427281715203
20110403_mad_rs_2.5_it2fuzzy_implication_tlk_intersection_tl_and_union_tln_reduction_centroid,800,1463,86400.0,149.83385991602125,32187,0.007278513688754936,0.09975330612009196,7.2965137416021175,0.14091784117818043,9.366919581743279,4170,1022.8157621103095,2518.782337441835,19.590195950652383,8.189202306152067,0.0013797909407665516,6.986570220523794E-4,0.10325435540069702,0.003185649671776644,0.06532752613240417,0.02536883257535125,0.8236794425087096,6.522713948467077
20110403_thr_rs_0.8_it2fuzzy_implication_tlk_intersection_tl_and_union_tln_reduction_centroid,800,1463,86400.0,108.78006416543062,2832,0.002985787154264236,0.0046657444321829295,63.993799867587185,11.610009563968319,15.88665952685219,779,783.5932169447958,2534.6818892145516,19.686022598868675,8.248518170690138,0.0,0.0,0.10396515679442528,0.00219475819266738,0.0,0.0,0.6730348432055759,6.233291825736677
20110403_iqr_rs_1.5_it2fuzzy_implication_product_intersection_maxmin_and_union_minmax_reduction_centroid,800,1463,86400.0,152.8109860906766,32606,0.007038623272987421,0.09754350897589645,7.215880735566632,0.12682025331051452,9.394635650872038,4209,1032.0920693751536,2567.762574140415,19.521576279532347,8.18516545198235,0.0013554006968641125,7.749331776287053E-4,0.11132055749128937,0.004878419980516084,0.06022996515679439,0.02232882222032845,0.8190383275261317,6.47754140923206
20110403_lrr_rs_1.2_it2fuzzy_implication_product_intersection_maxmin_and_union_minmax_reduction_centroid,800,1463,86400.0,133.245056690728,9967,0.0013437349220490312,0.02827009299540405,4.7532030484211205,0.045046064348012345,8.412585938749046,1236,1789.2584077669665,6144.958896924677,19.697158282204683,8.150320607522685,6.620209059233455E-4,5.16226314665402E-4,0.10804529616724746,0.006082880698057742,0.022477351916376273,0.009976476315634747,0.7079372822299649,6.267504903574659
20110403_mad_rs_2.5_it2fuzzy_implication_product_intersection_maxmin_and_union_minmax_reduction_centroid,800,1463,86400.0,150.040633782562,32879,0.0074169403407312725,0.10134691893922436,7.318367858009633,0.1412369039557975,9.298227350324641,4258,996.8990962893338,2316.6943175957285,19.557923695808505,8.173492776820234,0.0011881533101045305,7.381694454933662E-4,0.10604529616724749,0.004321199631830506,0.0607177700348432,0.02410772294306077,0.8148885017421601,6.515217273996686
20110403_thr_rs_0.8_it2fuzzy_implication_product_intersection_maxmin_and_union_minmax_reduction_centroid,800,1463,86400.0,108.78006416543062,2832,0.002985787154264236,0.0046657444321829295,63.993799867587185,11.610009563968319,15.88665952685219,779,783.5932169447958,2534.6818892145516,19.686022598868675,8.248518170690138,0.0,0.0,0.10753658536585378,0.0034404859459472616,3.4843205574912894E-6,5.9028133610095526E-5,0.6694146341463465,6.126971641464451
20110403_iqr_rs_1.5_it2fuzzy_implication_minimum_intersection_maxmin_and_union_minmax_reduction_centroid,800,1463,86400.0,154.01861867546236,33619,0.007226448524051754,0.09947673897331107,7.264460615250526,0.12950489820696504,9.240408118541971,4379,1009.9270591459274,2440.5918694556494,19.546678736479137,8.188292124074067,0.0013170731707317083,6.797427049825356E-4,0.1098048780487806,0.004915037995688531,0.061926829268292696,0.024089537482797067,0.8165470383275268,6.385204345075736
20110403_lrr_rs_1.2_it2fuzzy_implication_minimum_intersection_maxmin_and_union_minmax_reduction_centroid,800,1463,86400.0,129.44188853121693,10000,0.0013383393539913486,0.02828695732378512,4.731294846144531,0.04401839525769132,8.408988907670151,1189,2005.3016753574168,6355.138584986507,19.679059111288428,8.146111792093603,5.85365853658537E-4,5.277559584666793E-4,0.10393379790940784,0.0042052839556714575,0.022073170731707302,0.009557968779193382,0.6869512195121928,6.15864356583807
20110403_mad_rs_2.5_it2fuzzy_implication_minimum_intersection_maxmin_and_union_minmax_reduction_centroid,800,1463,86400.0,149.3692647314259,31942,0.007343831345677448,0.10024603690152467,7.325807156737339,0.14299948470646667,9.25580499814481,4237,986.4163323105878,2482.6186610272403,19.577267475360596,8.178628609675869,0.0013519163763066212,7.277142248043715E-4,0.10793728222996525,0.004078285959091595,0.0603937282229965,0.023190945658322727,0.8047665505226475,6.348467748992356
